Time,Time
00,8
01,4
02,2
03,6
04,10
05,6
06,2
07,5
08,11
09,8
10,15
11,13
12,12
13,12
14,6
15,10
16,15
17,6
18,14
19,18
20,10
21,10
22,9
23,8
